"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"LumiDew Steam Eye Mask, Self Heating Heated Eye Mask for Sleep, Warm Compress for Eyes, Moist Heat for Dry Eye Relief, Stye Eye Treatment, Spa, Travel Essentials & Relaxation Gifts, Unscented 16 Pack","B0F74RYKSJ","LumiDew","4.5","267","https://m.media-amazon.com/images/I/412zLlUb+OL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Eyes > Masks",,,"$","27.99","https://www.amazon.com/dp/B0F74RYKSJ"
"Sugardoh Sugar Waxing Kit for Women As Seen On Shark Tank (Mini Kit Firm) Face, Arms, & Legs, Sugar Wax Hair Removal- Sugaring Tiktok Viral Products- Bikini Wax Kit for Women - Sugaring Kit","B0BFC28JQH","SUGARDOH","3.9","878","https://m.media-amazon.com/images/I/41ZH3BfX-aL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Shave & Hair Removal > Women's > Waxing > Wax",,,"$","29.99","https://www.amazon.com/dp/B0BFC28JQH"
"Hismile V34 Whitening Strips, Teeth Whitening Strips, Purple Tooth Whitening, Purple V34 Whitening Strips, Tooth Stain Treatment, Combining Whitening and Colour Correction","B0F42ZTSZZ","HISMILE","3.6","1017","https://m.media-amazon.com/images/I/7102MuLTzRL._AC_SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Oral Care > Teeth Whitening > Strips",,,"$","35","https://www.amazon.com/dp/B0F42ZTSZZ"
"Olay Super Serum - Niacinamide, Vitamin C & E, Collagen Peptide, AHA - 5-in-1 Skin Care Benefits for Face - Healthy Glow, Brightening, Hydrating, Smoothing, Firming, Evens Tone, Anti-Aging, 1.0 Oz","B0C7MQQSW4","Olay","4.5","6763","https://m.media-amazon.com/images/I/41Cn7Kjq4mL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Serums","Olay Super Serum, a powerful 5-in-1 facial serum, delivers visible results that BEAT the #1 Luxury Serum.* Designed to elevate and simplify your skincare routine, this clinically tested formula delivers five essential skin care benefits: 1. Better Skin Texture, 2. More Even-Looking Skin Tone, 3. Firmer Feeling Skin, 4. Smoother Visible Lines, 5. Long Lasting Hydration. Infused with five powerful serum ingredients, Olay's Activated Niacinamide, Vitamin C, Collagen Peptide, Vitamin E, and Alpha Hydroxy Acid (AHA), this serum for face penetrates deeply without leaving a sticky residue. It provides visible results from day one, with improved texture in one week, more even tone in two weeks, and visible correction of fine lines and wrinkles in four weeks. To maximize results, apply this lightweight serum daily on your face and neck, and follow up with Olay Super Cream with Sunscreen in the morning to protect against sun damage. Unlock the secret to radiant, healthier-looking skin with Olay Super Serum, the Most Awarded Serum. (*Olay Super Serum Imaging Study, March 2023) (**6 Year Review of Majoy Beauty Awards)Today, people are overwhelmed by endless skincare choices, trends and routines. Olay is here to simplify your daily routine with the Super Series collection— designed to deliver multitasking benefits in each product.",,"$","29.94","https://www.amazon.com/dp/B0C7MQQSW4"
"SUNGBOON EDITOR Deep Collagen Retinol Capsule Cream | Skin Revitalizing Cream for Fine Lines, Firm-looking & Dry Skin | 300K White Spicules + Collagen + Retinol | Korean Skincare, 1.69 fl.oz","B0DK8JTL6S","SUNGBOON EDITOR","4.4","455","https://m.media-amazon.com/images/I/41NoEv0RULL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Night Creams",,,"$","28.8","https://www.amazon.com/dp/B0DK8JTL6S"
"LANEIGE Neo Blurring Powder: Korean Oil-Control Compact with Pore Blurring, Smoothing Finish & Travel-Friendly, No-Spill Packaging","B0DHWFT182","LANEIGE","4.3","1492","https://m.media-amazon.com/images/I/31uwOzNJSJL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Makeup > Face > Powder",,,"$","25","https://www.amazon.com/dp/B0DHWFT182"
"belif Aqua Bomb Cooling Eye Gel - Caffeine & Hyaluronic Acid for Puffiness & Hydration, Niacinamide & Vitamin C for Dark Circles, Adenosine & Collagen for Plumping & Firming, Korean Skin Care","B0D8NB84XK","belif","4.2","848","https://m.media-amazon.com/images/I/31Gl+97gkvL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Eyes > Gels",,,"$","25.6","https://www.amazon.com/dp/B0D8NB84XK"
"Glow Recipe Hue Drops Tinted Face Serum - Illuminating Glow Drops to Brighten & Hydrate - Skincare Makeup Primer & Liquid Highlighter to Blur Pores for a Radiant, Even Skin Tone - Rosy Glow (40ml)","B0F3DZDTFQ","Glow Recipe","4.6","738","https://m.media-amazon.com/images/I/31zTW6FhO8L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Serums",,,"$","36","https://www.amazon.com/dp/B0F3DZDTFQ"
"HERBALISTA Viral Herbal Conditioner/Acondicionador 1000ml (33.8 fl oz) – With Rosemary, Coconut Oil, Flaxseed Extract, Aloe, Honey, Vitamin E & Olive Oil – Suaviza, Nutre, Hidrata – 100% Natural","B0FGCB55MY","HERBALISTA","5","4","https://m.media-amazon.com/images/I/413lcQYsbKL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Shampoo & Conditioner > Conditioners","Herbalista Viral New Herbal Conditioner 🌿Discover the Herbalista Viral New Herbal Conditioner, a luxurious blend of rich botanical oils and natural extracts. Perfect for anyone seeking visible results, this 1000ml (33.8 fl oz) conditioner softens, nourishes, and hydrates hair. It's 100% natural and handcrafted, ensuring pure ingredients and artisanal quality. Indulge in the power of nature for silky, healthy hair.Key Ingredients 💧RosemaryRosemaryCoconut OilCoconut OilFlaxseed ExtractFlaxseed ExtractOlive OilOlive OilAloe VeraAloe VeraVitamin EVitamin EThese ingredients replenish moisture and softness. The combination helps in deep nourishment, making it ideal for those looking for a conditioning solution that goes beyond the basics.Benefits 🌟Infused with aloe vera and vitamin E, this conditioner fortifies hair against breakage and provides lasting hydration. It helps in strengthening hair, making it resistant to damage. The aloe vera and vitamin E ensure your hair remains healthy and hydrated throughout the day.Usage & Quality 🛠️Smooths frizz, detangles easily, and leaves hair feeling light, soft, and manageable. It's perfect for anyone seeking a conditioner that delivers real results with every use. Whether you have curly, straight, thick, or fine hair, this conditioner leaves it healthy and beautifully conditioned. No parabens, no sulfates, no synthetic junk. Just pure ingredients and artisanal craftsmanship in every bottle. Herbalista commits to clean beauty, ensuring every bottle contains only the best for your hair.",,"$","29.99","https://www.amazon.com/dp/B0FGCB55MY"
"Made by Dentists Professional Teeth Whitening Powder - Remineralizing Hydroxyapatite Tooth Powder Formula with Pap, and Diamond Pwdr - Non-Abrasive Stain Remover for Instant Results","B0DM6QXTCQ","Made by Dentists","4","748","https://m.media-amazon.com/images/I/61noIYRZD9L._AC_SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Oral Care > Teeth Whitening",,,"$","25","https://www.amazon.com/dp/B0DM6QXTCQ"
"Viral Colorwash Copper for Brunette","B0DK42QPYK","Celeb Luxury","4","32","https://m.media-amazon.com/images/I/31GF7VNazuL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Coloring Products > Hair Color",,,"$","36.5","https://www.amazon.com/dp/B0DK42QPYK"
"Warrior - Organic Immune System Support - Made with Nature's 8 Most Potent Immunity Defense Herbs","B01N0BJN11","Khroma Herbal Products","4.6","639","https://m.media-amazon.com/images/I/61nZztFdnfL._AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household > Vitamins, Minerals & Supplements > Blended Vitamin & Mineral Supplements",,,"$","25.99","https://www.amazon.com/dp/B01N0BJN11"
"Touchland Hydrating Hand Sanitizer Spray, JUICY Trio Set (Watermelon, Peach, Berry), 1 FL. OZ. Travel Size Power Mist Sprays (Set of 3)","B09YT2H35S","Touchland","4.8","12177","https://m.media-amazon.com/images/I/41kpKbHoiyL._SY300_SX300_QL70_FMwebp_.jpg","Health & Household > Health Care > First Aid > Antibiotics & Antiseptics > Hand Sanitizers",,,"$","30","https://www.amazon.com/dp/B09YT2H35S"
"Sugardoh Sugar Waxing Kit for Women As Seen On Shark Tank (Vintage Kit Medium) - Face, Arms, & Legs - Sugar Wax Hair Removal - Sugaring Tiktok Products - Bikini Wax Kit for Women - Sugaring Kit","B0BS2FHJ1Q","SUGARDOH","3.9","878","https://m.media-amazon.com/images/I/41De6g7Y0vL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Shave & Hair Removal > Women's > Waxing > Wax",,,"$","41.99","https://www.amazon.com/dp/B0BS2FHJ1Q"
"Babe Original Lash Serum - Fuller & Longer Looking Eyelashes, Advanced Lash Enhancing Treatment for Natural Lashes, Extensions & Eyebrows, Vegan & Cruelty-Free","B07BKV4B6Q","","4.1","21652","https://m.media-amazon.com/images/I/41zLnr824cL._SY445_SX342_QL70_FMwebp_.jpg","Beauty & Personal Care > Makeup > Eyes",,,"$","29","https://www.amazon.com/dp/B07BKV4B6Q"
"PURCELL 24/7 Colostrum Ampoule Mist - Glass skin with Long Hydration, Poreless Smooth Skin, Before & After Makeup, Hyaluronic Acid and Vitamin, For All Skin types, 1.85 fl oz","B0CM37QQT3","PURCELL","4.5","679","https://m.media-amazon.com/images/I/31CndUlI44L._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Mists",,,"$","33","https://www.amazon.com/dp/B0CM37QQT3"
"Divi 3-in-1 Leave-In Conditioner Spray - Detangler & Heat Protectant for Frizz Control & Shine, Lightweight Moisturizer - For All Hair Types - 6.5 Fl Oz","B0CSTB6RX3","Divi","4.4","293","https://m.media-amazon.com/images/I/31lrs6RAcwL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Styling Products",,,"$","28","https://www.amazon.com/dp/B0CSTB6RX3"
"Celeb Luxury Intense Color Depositing Colorconditioner Conditioner + BondFix Bond Rebuilder, Vegan, Sustainably Sourced Plant-Based, Semi-Permanent, Viral and Gem Lites Colorconditioners","B074VWVBL5","Celeb Luxury","4.2","141","https://m.media-amazon.com/images/I/41j1Qlo7iPS._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Hair Coloring Products > Color Refreshers > Color Conditioners",,,"$","40","https://www.amazon.com/dp/B074VWVBL5"
"divi Strand Styling Cream, Hair Thickening Treatment for Fine Hair, Volumizing and Frizz Control","B0F4RQXJVP","","4.2","126","https://m.media-amazon.com/images/I/318B5NcJ9YL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Hair Care > Styling Products > Creams & Lotions",,,"$","32","https://www.amazon.com/dp/B0F4RQXJVP"
"SUMSAE Isoflavone Hydrating Essence - Korean Skin Care with Polyglutamic Acid γ PGA from Korean Fermented Soybeans Hydrating and Firming Essence 30ml/1.01 fl.oz.","B0FPQ7PWVY","SUMSAE","4.5","49","https://m.media-amazon.com/images/I/216XvgjVmyL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Moisturizers",,,"$","28.8","https://www.amazon.com/dp/B0FPQ7PWVY"
"SUNGBOON EDITOR Rejuvenating Combo/Deep Collagen Boost Set | Face Mask (4ea) & Serum | Collagen & Volufiline Skincare Set | Hydrating & Firm-Looking Care | Korean Skincare","B0DRJNMTRS","SUNGBOON EDITOR","4.6","392","https://m.media-amazon.com/images/I/41L-RWHZeDL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Treatments & Masks > Masks",,,"$","37.99","https://www.amazon.com/dp/B0DRJNMTRS"
"PHLUR Vanilla Skin Body Mist - Hair & Body Fragrance Mist - Vanilla Body Spray with Pink Pepper, Cashmere Wood & Sandalwood (8 Fl Oz)","B0D3FK6KCB","PHLUR","4.1","4394","https://m.media-amazon.com/images/I/31VjYaG4toL._SY300_SX300_QL70_FMwebp_.jpg","Beauty & Personal Care > Fragrance > Women's > Body Sprays",,,"$","38","https://www.amazon.com/dp/B0D3FK6KCB"
"TULA Skin Care So Poreless Exfoliating Blackhead Scrub - Powerful and Gentle Exfoliation, Refreshing and Smoothing, Contains Probiotic Extracts, Volcanic Sand, Pink Salt, and Witch Hazel, 2.89 oz.","B089QY79DC","TULA","4.6","1056","https://m.media-amazon.com/images/I/41RTfvbe4TL._SX342_SY445_QL70_FMwebp_.jpg","Beauty & Personal Care > Skin Care > Face > Polishes & Scrubs > Scrubs",,,"$","34","https://www.amazon.com/dp/B089QY79DC"
